Time Avstress
3211120 0.1987786835572878
3211230 0.19842279005509966
3211340 0.18277636491099022
3211450 0.19056093052370693
3211560 0.18886271763425283
3211670 0.1906942814615882
3211780 0.18918444948108668
3211890 0.17443448059967465
3212000 0.20370165070824783
3212110 0.18560925599616962
3212220 0.19247868248893069
3212330 0.18315773466512472
3212440 0.19044361942307872
3212550 0.18720479491256045
3212660 0.1858909929736362
3212770 0.1849281401077913
3212880 0.19741454812958203
3212990 0.1793454375573058
3213100 0.16474725230555748
3213210 0.18079195537941486
3213320 0.17791174662759132
3213430 0.19772699822081533
3213540 0.19001879290289608
3213650 0.183337523069701
3213760 0.17430464525978845
3213870 0.17150072662835134
3213980 0.17167435409402906
3214090 0.1907343674230935
3214200 0.1984575743977958
3214310 0.19202280541276942
3214420 0.20090454144740097
3214530 0.17985531853620884
3214640 0.182246324035036
3214750 0.18441118067157214
3214860 0.18324411540159466
3214970 0.19419504015375644
3215080 0.18950499474903548
3215190 0.17769393909872944
3215300 0.19358032010779577
3215410 0.20339435877248457
3215520 0.1873098980065027
3215630 0.19987605763664093
3215740 0.1805369563872589
3215850 0.1918744002934812
3215960 0.19157809431519163
3216070 0.18693041946053562
3216180 0.1874265517810076
3216290 0.18230725465884454
3216400 0.18226748477053883
3216510 0.18180958225901814
3216620 0.17596968133648982
3216730 0.16492505249989842
3216840 0.17387304873117349
3216950 0.18279718324947597
3217060 0.18172026050280735
3217170 0.190134295464982
3217280 0.1789406185706784
3217390 0.18547690217647955
3217500 0.1874941548640805
3217610 0.1866024823610912
3217720 0.1958473292220981
3217830 0.16367557108081984
3217940 0.18778706313959428
3218050 0.1763199779716866
3218160 0.19258278475015303
3218270 0.18521099191669047
3218380 0.1786631318777617
3218490 0.1934863724785314
3218600 0.18517947345035365
3218710 0.2105859162196007
3218820 0.19713265795845228
3218930 0.18311287132913
3219040 0.19592278815657216
3219150 0.18571197325747363
3219260 0.19739945988903743
3219370 0.19738854120416538
3219480 0.1893313205794142
3219590 0.18298549799979297
3219700 0.17432913754350374
3219810 0.19584898538779577
3219920 0.1866143690245904
3220030 0.1951079081160809
3220140 0.18788983033655351
3220250 0.18192732158622493
3220360 0.1832324487939667
3220470 0.20215803306017682
3220580 0.1858901482770557
3220690 0.17283054346286908
3220800 0.1826254841414699
3220910 0.17530720040171813
3221020 0.15960954692026683
3221130 0.1722123226725971
3221240 0.18955437446769546
3221350 0.18365535211409142
3221460 0.18171148532251286
3221570 0.18254628000282858
3221680 0.16660404841377635
3221790 0.2013277486822801
3221900 0.15828688730989904
3222010 0.1852228768577559
3222120 0.17329986257487784
3222230 0.18918060864893455
3222340 0.19487492019545588
3222450 0.1841629975364127
3222560 0.18486044978444766
3222670 0.19490027638542437
3222780 0.17643761238168854
3222890 0.17293987462800284
3223000 0.20108782412875836
3223110 0.18765324865083977
3223220 0.17923964197783243
3223330 0.18245828900193672
3223440 0.18999746737927983
3223550 0.20067306884750966
3223660 0.16776913916025463
3223770 0.18445548986278484
3223880 0.17405407423434285
3223990 0.1848492479297351
3224100 0.2133129470140715
3224210 0.17536235902730324
3224320 0.19705414665318735
3224430 0.18801420598008936
3224540 0.18104516453443478
3224650 0.17222819418677018
3224760 0.20432936840394228
3224870 0.181007224340933
3224980 0.17948051920687244
3225090 0.19055559791900398
3225200 0.17356836442991447
3225310 0.1812341849591583
3225420 0.17713726074730451
3225530 0.19328197922268325
3225640 0.18560582934296296
3225750 0.19745180163554849
3225860 0.17792609537043208
3225970 0.1847912827914622
3226080 0.1905504259659536
3226190 0.19242568077430428
3226300 0.1903498095127765
3226410 0.18278500120367155
3226520 0.19117534915804463
3226630 0.1931046184925765
3226740 0.1984565696254739
3226850 0.18006255788570152
3226960 0.19361054719714504
3227070 0.18634325332052407
3227180 0.19578727457592143
3227290 0.17842540830311535
3227400 0.17626614027022763
3227510 0.20021384874877443
3227620 0.18310836411099665
3227730 0.1795315962486947
3227840 0.18226776114887022
3227950 0.19059995879107253
3228060 0.1943983015073386
3228170 0.19391906399786396
3228280 0.17834960587196566
3228390 0.1795822792922473
3228500 0.18257756847856033
3228610 0.1964417425397891
3228720 0.1693487557982639
3228830 0.1877909561209851
3228940 0.18540909220494342
3229050 0.1931268616083372
3229160 0.1841864411534452
3229270 0.2008056721141281
3229380 0.17994413204326068
3229490 0.19278246417903805
3229600 0.17542640193363362
3229710 0.17108038111387924
3229820 0.18609967118931264
3229930 0.18075055293128023
3230040 0.1764103327101286
3230150 0.19245073456425218
3230260 0.1892827470591718
3230370 0.19378090932302533
3230480 0.19237491750661845
3230590 0.1736193065518139
3230700 0.17441362217420975
3230810 0.1856140437924865
3230920 0.17919457304551892
3231030 0.18356050550246528
3231140 0.1749093979514037
3231250 0.1948381881368583
3231360 0.19714671024117864
3231470 0.18185167990717657
3231580 0.1759265639399582
3231690 0.21079896847023083
3231800 0.18790226669122687
3231910 0.17408833657368056
3232020 0.18510668703438657
3232130 0.17017267028582433
3232240 0.1798585541603453
3232350 0.16868732459825425
3232460 0.1842516303221335
3232570 0.19170307997202224
3232680 0.16145602929332947
3232790 0.1784203056801884
3232900 0.1859426825233404
3233010 0.17240489873791473
3233120 0.1977047463335346
3233230 0.1618185571583372
3233340 0.20169805605178368
3233450 0.18848839466184222
3233560 0.19949667982962963
3233670 0.1843787191844509
3233780 0.16550396889265817
3233890 0.19395654361542758
3234000 0.1935111833733314
3234110 0.17552597430083142
3234220 0.1722991671126601
3234330 0.18355768791976787
3234440 0.16617852740209685
3234550 0.17589521579574205
3234660 0.1852729790333327
3234770 0.19187153812490226
3234880 0.18405379043676567
3234990 0.18804820732116642
3235100 0.17754828274426632
3235210 0.17396036893117736
3235320 0.16866498234196114
3235430 0.19414422226600564
3235540 0.19443273243985468
3235650 0.1795604752713799
3235760 0.18906642424465084
3235870 0.16841944464869793
3235980 0.18576316262655607
3236090 0.19307869384544882
3236200 0.18471578213817064
3236310 0.1979862478435886
3236420 0.1762743933664834
3236530 0.18565185017427147
3236640 0.1891980656242657
3236750 0.17771334015651236
3236860 0.19522574596003409
3236970 0.19377326202534723
3237080 0.18512512637992798
3237190 0.17452428686093943
3237300 0.18962733656219585
3237410 0.18526632767748652
3237520 0.19210554477163258
3237630 0.18958603058501156
3237740 0.1921422772837333
3237850 0.18054519628613555
3237960 0.1788542524355427
3238070 0.18621111883473251
3238180 0.18908299821947144
3238290 0.17773892392091306
3238400 0.17546579165137474
3238510 0.19136603491324203
3238620 0.18374770468176183
3238730 0.19146941194850758
3238840 0.18572337268303626
3238950 0.17696741068299382
3239060 0.16476707926778808
3239170 0.18088246437891844
3239280 0.1745736479408777
3239390 0.17455548953038452
3239500 0.18817102975505595
3239610 0.18231273415084878
3239720 0.17754005643601403
3239830 0.17339221192035106
3239940 0.1812275129915593
3240050 0.1897174653165342
3240160 0.18812042099885737
3240270 0.1707344008650643
3240380 0.1856117957154578
3240490 0.19457362521566487
3240600 0.19043945460125772
3240710 0.1868250479213291
3240820 0.18495513280671297
3240930 0.20691549805526685
3241040 0.18885901667466498
3241150 0.18976782580122556
3241260 0.1901669232009735
3241370 0.1903795905310764
3241480 0.17574320866416088
3241590 0.17337461431044046
3241700 0.17592254933823626
3241810 0.18274435535396283
3241920 0.18175067735566808
3242030 0.1942526889047068
3242140 0.18036006386833528
3242250 0.17981646685443672
3242360 0.166918049508433
3242470 0.18470229611682357
3242580 0.17955253750586483
3242690 0.1922427500635944
3242800 0.18943968615571632
3242910 0.20122452276959943
3243020 0.19021106200592014
3243130 0.17105025809069507
3243240 0.17882475121015817
3243350 0.1713511085340117
3243460 0.17517421800476982
3243570 0.1915946015975122
3243680 0.1809560167094213
3243790 0.18593881787842206
3243900 0.17733785124151427
3244010 0.18139270936545718
3244120 0.19262294813313852
3244230 0.18423806771130208
3244340 0.1769872470861677
3244450 0.18226536372952482
3244560 0.19820037963433065
3244670 0.18153885844038195
3244780 0.1877364413812397
3244890 0.18451040662582946
3245000 0.1993842973659587
3245000 0.1993842973659587
3245110 0.20077680636677275
3245220 0.19160914030786586
3245330 0.18172019808136639
3245440 0.15740135352333784
3245550 0.17791182839671874
3245660 0.17081566815638374
3245770 0.1914788991956848
3245880 0.1793485187642702
